Neg,Neu,Pos,Time
0,2,0,04-06 00
0,0,1,04-06 01
0,0,0,04-06 02
0,2,0,04-06 03
1,0,0,04-06 04
1,1,3,04-06 05
1,1,10,04-06 06
3,5,6,04-06 07
7,8,19,04-06 08
4,11,16,04-06 09
6,10,11,04-06 10
7,7,15,04-06 11
6,7,15,04-06 12
4,11,14,04-06 13
9,17,15,04-06 14
8,22,27,04-06 15
5,15,21,04-06 16
2,3,15,04-06 17
5,7,11,04-06 18
5,15,12,04-06 19
2,4,11,04-06 20
3,3,3,04-06 21
2,0,1,04-06 22
1,2,1,04-06 23
0,1,1,04-07 00
0,0,0,04-07 01
0,1,0,04-07 02
1,0,5,04-07 03
2,2,1,04-07 04
0,0,0,04-07 05
3,2,3,04-07 06
2,5,12,04-07 07
2,13,11,04-07 08
6,7,13,04-07 09
7,4,16,04-07 10
10,11,20,04-07 11
5,9,25,04-07 12
1,11,20,04-07 13
4,5,14,04-07 14
6,9,12,04-07 15
4,10,20,04-07 16
4,15,12,04-07 17
3,14,13,04-07 18
7,2,16,04-07 19
7,9,15,04-07 20
0,11,4,04-07 21
4,1,5,04-07 22
4,1,5,04-07 23
2,0,1,04-08 00
0,0,0,04-08 01
0,2,0,04-08 02
0,3,0,04-08 03
0,4,1,04-08 04
0,0,5,04-08 05
3,1,4,04-08 06
11,22,21,04-08 07
3,10,12,04-08 08
5,19,6,04-08 09
0,4,0,04-08 10
6,2,0,04-08 11
6,5,1,04-08 12
4,9,9,04-08 13
12,21,20,04-08 14
9,28,15,04-08 15
3,20,14,04-08 16
5,15,7,04-08 17
7,15,10,04-08 18
8,16,6,04-08 19
5,13,3,04-08 20
3,8,5,04-08 21
2,6,4,04-08 22
2,8,3,04-08 23
2,5,6,04-09 00
2,0,0,04-09 01
0,3,6,04-09 02
0,4,0,04-09 03
4,3,4,04-09 04
6,5,6,04-09 05
4,12,0,04-09 06
1,15,2,04-09 07
5,12,6,04-09 08
8,3,6,04-09 09
7,12,15,04-09 10
4,16,15,04-09 11
8,23,30,04-09 12
6,21,16,04-09 13
6,15,11,04-09 14
12,33,8,04-09 15
3,14,13,04-09 16
4,2,9,04-09 17
1,5,6,04-09 18
3,10,2,04-09 19
4,3,7,04-09 20
0,5,4,04-09 21
0,4,2,04-09 22
0,5,1,04-09 23
6,19,1,04-10 00
1,2,0,04-10 01
0,0,1,04-10 02
5,5,2,04-10 03
2,13,6,04-10 04
3,10,12,04-10 05
1,6,1,04-10 06
13,36,11,04-10 07
5,4,13,04-10 08
9,34,16,04-10 09
4,11,16,04-10 10
6,17,12,04-10 11
