Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,0,04-06 01
0,2,0,04-06 02
0,0,0,04-06 03
1,0,2,04-06 04
0,0,5,04-06 05
1,1,2,04-06 06
2,0,5,04-06 07
8,7,8,04-06 08
3,4,11,04-06 09
1,10,9,04-06 10
1,4,8,04-06 11
2,5,5,04-06 12
5,8,6,04-06 13
3,16,14,04-06 14
7,12,21,04-06 15
4,7,9,04-06 16
4,5,8,04-06 17
3,5,2,04-06 18
3,14,7,04-06 19
2,1,3,04-06 20
3,3,3,04-06 21
1,1,3,04-06 22
0,1,3,04-06 23
0,1,1,04-07 00
0,0,0,04-07 01
1,2,0,04-07 02
0,0,1,04-07 03
0,0,1,04-07 04
1,0,0,04-07 05
1,3,6,04-07 06
1,3,5,04-07 07
4,11,16,04-07 08
4,2,5,04-07 09
3,2,5,04-07 10
3,4,7,04-07 11
10,7,6,04-07 12
1,3,10,04-07 13
2,7,10,04-07 14
5,8,11,04-07 15
6,9,9,04-07 16
1,8,9,04-07 17
5,18,11,04-07 18
2,5,5,04-07 19
2,4,9,04-07 20
1,1,5,04-07 21
2,2,1,04-07 22
1,1,4,04-07 23
0,1,0,04-08 00
0,0,0,04-08 01
0,1,0,04-08 02
0,0,1,04-08 03
1,2,1,04-08 04
0,1,3,04-08 05
0,2,4,04-08 06
9,15,15,04-08 07
5,6,4,04-08 08
2,12,4,04-08 09
2,0,2,04-08 10
1,5,2,04-08 11
2,3,1,04-08 12
5,16,6,04-08 13
5,19,20,04-08 14
2,15,3,04-08 15
0,8,8,04-08 16
0,8,5,04-08 17
5,6,5,04-08 18
3,8,3,04-08 19
5,9,1,04-08 20
1,3,5,04-08 21
5,2,1,04-08 22
2,6,3,04-08 23
2,1,1,04-09 00
2,1,0,04-09 01
0,2,3,04-09 02
0,3,1,04-09 03
3,1,2,04-09 04
1,3,2,04-09 05
1,4,1,04-09 06
1,7,1,04-09 07
2,17,8,04-09 08
6,3,4,04-09 09
3,6,9,04-09 10
5,14,9,04-09 11
3,13,12,04-09 12
5,13,9,04-09 13
2,9,4,04-09 14
2,11,2,04-09 15
0,8,1,04-09 16
1,3,1,04-09 17
0,2,3,04-09 18
2,3,5,04-09 19
0,2,2,04-09 20
0,2,1,04-09 21
0,0,1,04-09 22
0,1,0,04-09 23
3,3,2,04-10 00
0,2,0,04-10 01
0,0,0,04-10 02
1,2,3,04-10 03
0,5,4,04-10 04
0,4,1,04-10 05
0,0,0,04-10 06
4,7,3,04-10 07
0,9,2,04-10 08
1,12,4,04-10 09
0,4,2,04-10 10
3,8,3,04-10 11
