Neg,Neu,Pos,Time
0,1,1,04-06 00
0,0,0,04-06 01
0,0,0,04-06 02
0,2,0,04-06 03
0,1,2,04-06 04
0,1,5,04-06 05
2,2,5,04-06 06
1,2,6,04-06 07
3,2,12,04-06 08
2,7,10,04-06 09
5,10,15,04-06 10
4,3,9,04-06 11
2,10,11,04-06 12
5,8,5,04-06 13
4,17,10,04-06 14
7,19,29,04-06 15
2,10,18,04-06 16
3,8,14,04-06 17
2,6,6,04-06 18
4,13,14,04-06 19
0,1,13,04-06 20
4,1,7,04-06 21
1,0,3,04-06 22
0,1,2,04-06 23
0,0,1,04-07 00
0,0,1,04-07 01
1,1,0,04-07 02
0,0,2,04-07 03
0,2,1,04-07 04
1,1,0,04-07 05
2,1,2,04-07 06
2,7,10,04-07 07
1,23,13,04-07 08
2,5,4,04-07 09
8,7,10,04-07 10
7,8,13,04-07 11
3,13,12,04-07 12
7,4,9,04-07 13
3,5,7,04-07 14
1,3,11,04-07 15
4,4,12,04-07 16
2,8,15,04-07 17
5,27,21,04-07 18
5,2,6,04-07 19
4,3,7,04-07 20
1,10,3,04-07 21
2,2,1,04-07 22
1,1,4,04-07 23
0,0,0,04-08 00
0,0,1,04-08 01
0,2,0,04-08 02
0,1,1,04-08 03
2,1,5,04-08 04
0,2,3,04-08 05
3,4,6,04-08 06
6,26,15,04-08 07
6,20,6,04-08 08
5,31,6,04-08 09
4,7,3,04-08 10
4,4,4,04-08 11
2,12,11,04-08 12
12,29,22,04-08 13
31,54,43,04-08 14
14,29,27,04-08 15
6,15,8,04-08 16
11,23,20,04-08 17
4,13,17,04-08 18
16,24,11,04-08 19
1,8,5,04-08 20
3,3,4,04-08 21
4,1,1,04-08 22
7,25,9,04-08 23
10,11,10,04-09 00
1,0,0,04-09 01
1,7,2,04-09 02
1,3,0,04-09 03
2,5,4,04-09 04
3,5,8,04-09 05
2,3,2,04-09 06
1,3,7,04-09 07
7,18,9,04-09 08
7,4,13,04-09 09
12,9,7,04-09 10
2,12,12,04-09 11
10,9,13,04-09 12
5,8,17,04-09 13
5,8,3,04-09 14
16,38,7,04-09 15
3,11,11,04-09 16
0,9,3,04-09 17
1,2,3,04-09 18
3,4,6,04-09 19
3,3,4,04-09 20
0,3,3,04-09 21
0,1,3,04-09 22
0,0,1,04-09 23
4,19,9,04-10 00
0,3,2,04-10 01
0,1,0,04-10 02
1,6,4,04-10 03
1,2,7,04-10 04
3,13,8,04-10 05
1,7,1,04-10 06
7,22,15,04-10 07
4,5,4,04-10 08
8,18,8,04-10 09
2,2,10,04-10 10
5,14,14,04-10 11
