Neg,Neu,Pos,Time
1,0,0,04-06 00
0,0,2,04-06 01
1,1,0,04-06 02
2,0,3,04-06 03
5,1,3,04-06 04
3,3,8,04-06 05
2,2,15,04-06 06
4,4,14,04-06 07
8,12,20,04-06 08
9,13,30,04-06 09
18,22,30,04-06 10
10,24,22,04-06 11
7,19,27,04-06 12
12,16,22,04-06 13
13,36,37,04-06 14
22,37,29,04-06 15
8,24,43,04-06 16
4,21,34,04-06 17
3,6,24,04-06 18
14,30,20,04-06 19
5,8,22,04-06 20
6,6,13,04-06 21
3,3,8,04-06 22
0,2,6,04-06 23
0,4,3,04-07 00
0,0,2,04-07 01
0,4,1,04-07 02
2,2,3,04-07 03
1,1,5,04-07 04
2,1,3,04-07 05
3,8,9,04-07 06
1,20,16,04-07 07
7,31,22,04-07 08
8,9,21,04-07 09
9,6,27,04-07 10
11,8,26,04-07 11
10,23,30,04-07 12
4,18,23,04-07 13
4,20,28,04-07 14
9,9,25,04-07 15
9,19,23,04-07 16
5,25,30,04-07 17
11,38,26,04-07 18
5,8,23,04-07 19
8,11,14,04-07 20
7,6,9,04-07 21
0,3,4,04-07 22
3,0,10,04-07 23
4,6,3,04-08 00
0,1,0,04-08 01
0,2,1,04-08 02
0,5,5,04-08 03
1,3,7,04-08 04
2,3,8,04-08 05
3,6,11,04-08 06
11,49,39,04-08 07
12,37,22,04-08 08
35,65,27,04-08 09
19,18,5,04-08 10
6,10,12,04-08 11
5,23,27,04-08 12
39,48,64,04-08 13
58,141,80,04-08 14
28,90,41,04-08 15
9,32,31,04-08 16
21,33,19,04-08 17
11,34,32,04-08 18
31,40,42,04-08 19
5,23,10,04-08 20
5,11,9,04-08 21
5,7,2,04-08 22
13,33,12,04-08 23
21,39,27,04-09 00
4,10,1,04-09 01
2,20,6,04-09 02
1,14,4,04-09 03
10,12,14,04-09 04
6,19,12,04-09 05
14,6,12,04-09 06
8,12,6,04-09 07
12,32,16,04-09 08
16,8,19,04-09 09
20,24,30,04-09 10
5,21,29,04-09 11
11,47,53,04-09 12
9,14,27,04-09 13
16,11,15,04-09 14
34,57,14,04-09 15
7,13,15,04-09 16
6,10,8,04-09 17
5,10,11,04-09 18
19,7,20,04-09 19
11,9,8,04-09 20
2,6,4,04-09 21
0,6,5,04-09 22
1,4,3,04-09 23
14,39,16,04-10 00
1,5,1,04-10 01
0,2,1,04-10 02
4,6,7,04-10 03
5,12,13,04-10 04
9,23,25,04-10 05
2,11,2,04-10 06
17,44,23,04-10 07
14,19,9,04-10 08
9,39,25,04-10 09
5,13,31,04-10 10
8,27,16,04-10 11
