Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,0,04-06 01
1,2,0,04-06 02
0,1,0,04-06 03
3,2,1,04-06 04
2,1,4,04-06 05
0,2,9,04-06 06
4,7,7,04-06 07
7,13,19,04-06 08
3,9,11,04-06 09
5,9,19,04-06 10
6,7,15,04-06 11
6,9,16,04-06 12
8,12,12,04-06 13
7,22,28,04-06 14
9,32,29,04-06 15
3,11,13,04-06 16
5,10,20,04-06 17
3,4,13,04-06 18
9,24,16,04-06 19
4,10,11,04-06 20
4,1,9,04-06 21
0,3,0,04-06 22
0,2,6,04-06 23
0,1,1,04-07 00
0,1,0,04-07 01
0,1,1,04-07 02
1,2,1,04-07 03
1,2,0,04-07 04
4,0,1,04-07 05
1,4,5,04-07 06
1,15,19,04-07 07
4,16,11,04-07 08
3,2,5,04-07 09
4,7,15,04-07 10
6,14,15,04-07 11
9,8,16,04-07 12
3,12,14,04-07 13
1,13,15,04-07 14
4,9,12,04-07 15
5,9,16,04-07 16
2,5,14,04-07 17
6,35,16,04-07 18
3,7,21,04-07 19
5,5,7,04-07 20
3,2,5,04-07 21
2,3,3,04-07 22
1,1,6,04-07 23
0,1,2,04-08 00
0,1,0,04-08 01
0,0,1,04-08 02
2,2,2,04-08 03
0,2,2,04-08 04
0,4,1,04-08 05
3,3,4,04-08 06
7,28,31,04-08 07
7,35,18,04-08 08
18,52,14,04-08 09
11,6,3,04-08 10
7,13,6,04-08 11
2,8,6,04-08 12
27,55,29,04-08 13
34,83,42,04-08 14
23,37,33,04-08 15
6,25,17,04-08 16
4,28,11,04-08 17
12,21,23,04-08 18
21,37,17,04-08 19
10,25,5,04-08 20
1,20,5,04-08 21
8,10,3,04-08 22
14,21,13,04-08 23
12,21,14,04-09 00
1,1,0,04-09 01
4,4,4,04-09 02
1,10,3,04-09 03
1,3,3,04-09 04
5,8,7,04-09 05
5,9,8,04-09 06
1,9,4,04-09 07
7,25,12,04-09 08
6,4,10,04-09 09
16,13,19,04-09 10
3,29,16,04-09 11
8,30,39,04-09 12
8,19,15,04-09 13
6,14,6,04-09 14
9,26,14,04-09 15
5,10,11,04-09 16
1,5,1,04-09 17
1,2,6,04-09 18
2,6,4,04-09 19
3,5,3,04-09 20
0,3,1,04-09 21
1,0,4,04-09 22
0,1,0,04-09 23
5,8,6,04-10 00
0,1,1,04-10 01
1,1,1,04-10 02
0,1,0,04-10 03
2,2,4,04-10 04
1,7,7,04-10 05
1,4,0,04-10 06
9,12,13,04-10 07
7,9,6,04-10 08
4,19,8,04-10 09
3,4,4,04-10 10
2,7,17,04-10 11
