Neg,Neu,Pos,Time
1,1,0,04-06 00
0,1,0,04-06 01
0,4,0,04-06 02
1,2,0,04-06 03
1,0,3,04-06 04
1,0,6,04-06 05
3,2,8,04-06 06
5,3,6,04-06 07
7,15,11,04-06 08
7,9,23,04-06 09
7,16,19,04-06 10
7,7,13,04-06 11
4,4,17,04-06 12
8,14,10,04-06 13
14,31,30,04-06 14
13,26,23,04-06 15
6,10,14,04-06 16
6,9,18,04-06 17
6,9,7,04-06 18
7,13,11,04-06 19
2,9,14,04-06 20
3,1,8,04-06 21
1,3,3,04-06 22
1,2,5,04-06 23
1,1,2,04-07 00
0,1,0,04-07 01
0,2,2,04-07 02
2,0,0,04-07 03
1,0,1,04-07 04
1,1,1,04-07 05
4,2,2,04-07 06
2,4,10,04-07 07
6,15,27,04-07 08
1,5,9,04-07 09
8,8,16,04-07 10
11,11,11,04-07 11
8,10,15,04-07 12
4,9,17,04-07 13
3,10,18,04-07 14
7,7,14,04-07 15
2,10,14,04-07 16
5,13,12,04-07 17
3,23,13,04-07 18
2,10,9,04-07 19
5,5,7,04-07 20
3,9,6,04-07 21
0,3,4,04-07 22
1,2,4,04-07 23
0,2,1,04-08 00
0,0,0,04-08 01
0,1,0,04-08 02
1,0,3,04-08 03
0,2,4,04-08 04
1,3,0,04-08 05
2,4,4,04-08 06
13,31,25,04-08 07
8,31,10,04-08 08
9,17,11,04-08 09
4,5,2,04-08 10
2,7,4,04-08 11
4,9,7,04-08 12
22,41,19,04-08 13
29,66,28,04-08 14
11,31,15,04-08 15
6,16,13,04-08 16
5,15,4,04-08 17
13,22,9,04-08 18
6,13,10,04-08 19
4,11,4,04-08 20
4,10,1,04-08 21
4,5,5,04-08 22
4,7,6,04-08 23
8,12,7,04-09 00
0,2,3,04-09 01
0,8,2,04-09 02
0,6,4,04-09 03
3,10,6,04-09 04
4,7,2,04-09 05
8,10,4,04-09 06
4,9,6,04-09 07
3,10,10,04-09 08
5,8,8,04-09 09
6,12,9,04-09 10
9,18,12,04-09 11
12,25,22,04-09 12
1,14,6,04-09 13
6,6,15,04-09 14
4,17,1,04-09 15
1,10,4,04-09 16
0,3,3,04-09 17
2,4,3,04-09 18
2,7,1,04-09 19
3,5,5,04-09 20
0,3,4,04-09 21
1,4,1,04-09 22
0,0,0,04-09 23
6,16,3,04-10 00
1,2,1,04-10 01
1,0,2,04-10 02
2,0,3,04-10 03
1,6,3,04-10 04
1,4,10,04-10 05
1,4,0,04-10 06
14,20,9,04-10 07
6,5,1,04-10 08
3,17,12,04-10 09
3,4,11,04-10 10
5,16,12,04-10 11
