Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,0,04-06 01
0,0,0,04-06 02
1,3,0,04-06 03
0,0,1,04-06 04
0,0,1,04-06 05
0,2,7,04-06 06
1,2,3,04-06 07
0,4,1,04-06 08
2,5,4,04-06 09
2,5,13,04-06 10
1,3,10,04-06 11
1,1,7,04-06 12
4,9,4,04-06 13
4,11,12,04-06 14
5,5,6,04-06 15
4,6,7,04-06 16
2,3,6,04-06 17
2,2,6,04-06 18
2,11,10,04-06 19
3,1,3,04-06 20
4,1,3,04-06 21
1,1,1,04-06 22
0,0,2,04-06 23
0,1,1,04-07 00
0,0,0,04-07 01
0,1,1,04-07 02
0,2,1,04-07 03
0,0,1,04-07 04
2,0,2,04-07 05
0,2,3,04-07 06
1,9,3,04-07 07
4,9,4,04-07 08
0,3,3,04-07 09
1,0,5,04-07 10
2,4,4,04-07 11
3,3,10,04-07 12
0,2,2,04-07 13
1,6,3,04-07 14
4,4,5,04-07 15
1,4,11,04-07 16
3,1,5,04-07 17
2,10,7,04-07 18
3,3,1,04-07 19
4,3,4,04-07 20
0,2,2,04-07 21
1,2,1,04-07 22
0,0,2,04-07 23
0,0,4,04-08 00
0,0,1,04-08 01
0,0,2,04-08 02
0,1,2,04-08 03
0,2,1,04-08 04
1,1,0,04-08 05
1,4,0,04-08 06
5,16,6,04-08 07
0,9,12,04-08 08
4,8,6,04-08 09
0,3,1,04-08 10
0,1,0,04-08 11
2,8,3,04-08 12
7,8,13,04-08 13
11,27,13,04-08 14
2,18,6,04-08 15
2,3,4,04-08 16
2,7,3,04-08 17
3,7,7,04-08 18
1,3,6,04-08 19
3,3,0,04-08 20
0,0,0,04-08 21
0,0,0,04-08 22
1,3,2,04-08 23
2,5,3,04-09 00
0,0,1,04-09 01
2,0,1,04-09 02
0,0,1,04-09 03
0,1,0,04-09 04
0,1,4,04-09 05
1,2,1,04-09 06
0,2,0,04-09 07
1,2,0,04-09 08
1,1,4,04-09 09
5,1,6,04-09 10
1,3,5,04-09 11
2,8,9,04-09 12
3,4,4,04-09 13
1,3,2,04-09 14
1,6,2,04-09 15
2,4,3,04-09 16
0,1,2,04-09 17
1,2,4,04-09 18
0,3,2,04-09 19
3,1,0,04-09 20
0,1,1,04-09 21
0,1,0,04-09 22
0,1,0,04-09 23
2,5,0,04-10 00
0,0,0,04-10 01
0,0,0,04-10 02
0,3,2,04-10 03
2,5,4,04-10 04
0,0,9,04-10 05
1,3,2,04-10 06
1,12,4,04-10 07
2,2,2,04-10 08
2,9,7,04-10 09
1,2,4,04-10 10
2,6,4,04-10 11
