Neg,Neu,Pos,Time
0,0,0,04-06 00
0,1,0,04-06 01
0,0,2,04-06 02
0,1,1,04-06 03
0,2,6,04-06 04
3,1,7,04-06 05
0,0,12,04-06 06
6,6,8,04-06 07
6,5,4,04-06 08
3,6,12,04-06 09
7,7,11,04-06 10
10,10,13,04-06 11
3,8,13,04-06 12
8,5,9,04-06 13
4,6,25,04-06 14
2,12,25,04-06 15
6,1,20,04-06 16
4,6,11,04-06 17
3,3,11,04-06 18
1,4,14,04-06 19
3,1,9,04-06 20
3,1,6,04-06 21
1,1,2,04-06 22
0,0,3,04-06 23
0,0,0,04-07 00
0,0,0,04-07 01
0,0,0,04-07 02
0,0,0,04-07 03
1,1,1,04-07 04
3,5,3,04-07 05
2,2,7,04-07 06
1,6,11,04-07 07
3,4,11,04-07 08
1,3,4,04-07 09
6,2,15,04-07 10
2,6,10,04-07 11
6,4,8,04-07 12
2,9,11,04-07 13
1,7,9,04-07 14
2,14,12,04-07 15
4,7,10,04-07 16
0,12,9,04-07 17
4,6,12,04-07 18
3,1,6,04-07 19
5,5,4,04-07 20
0,2,4,04-07 21
2,0,0,04-07 22
1,0,2,04-07 23
1,3,2,04-08 00
1,0,1,04-08 01
0,2,0,04-08 02
0,1,1,04-08 03
0,1,1,04-08 04
1,2,4,04-08 05
3,5,2,04-08 06
5,11,18,04-08 07
2,8,13,04-08 08
7,7,7,04-08 09
1,5,3,04-08 10
2,3,6,04-08 11
2,4,1,04-08 12
9,10,18,04-08 13
10,22,15,04-08 14
7,13,6,04-08 15
5,3,6,04-08 16
6,7,4,04-08 17
2,3,8,04-08 18
2,8,8,04-08 19
1,4,1,04-08 20
0,3,0,04-08 21
2,0,2,04-08 22
2,8,1,04-08 23
8,12,7,04-09 00
1,2,0,04-09 01
2,2,3,04-09 02
0,6,0,04-09 03
2,2,3,04-09 04
4,13,7,04-09 05
3,11,5,04-09 06
2,3,3,04-09 07
5,13,5,04-09 08
7,7,9,04-09 09
3,3,20,04-09 10
6,11,16,04-09 11
7,15,20,04-09 12
6,7,11,04-09 13
0,4,12,04-09 14
1,14,1,04-09 15
1,7,8,04-09 16
0,4,3,04-09 17
0,5,5,04-09 18
3,0,1,04-09 19
2,1,4,04-09 20
0,1,1,04-09 21
0,1,0,04-09 22
0,1,0,04-09 23
4,6,3,04-10 00
0,0,0,04-10 01
0,1,1,04-10 02
1,3,3,04-10 03
1,1,0,04-10 04
1,2,10,04-10 05
2,3,1,04-10 06
2,0,2,04-10 07
1,3,2,04-10 08
1,4,4,04-10 09
1,1,1,04-10 10
5,4,5,04-10 11
