Neg,Neu,Pos,Time
2,1,1,04-06 00
0,1,0,04-06 01
0,0,1,04-06 02
0,1,1,04-06 03
0,1,4,04-06 04
1,2,7,04-06 05
0,4,9,04-06 06
1,5,16,04-06 07
7,10,6,04-06 08
6,11,21,04-06 09
8,18,19,04-06 10
8,10,16,04-06 11
5,9,8,04-06 12
6,7,16,04-06 13
14,25,25,04-06 14
18,35,30,04-06 15
8,12,25,04-06 16
4,12,21,04-06 17
2,6,8,04-06 18
11,20,11,04-06 19
3,9,15,04-06 20
6,2,13,04-06 21
3,0,5,04-06 22
1,1,4,04-06 23
0,1,2,04-07 00
1,1,1,04-07 01
1,1,0,04-07 02
0,0,2,04-07 03
1,1,1,04-07 04
4,3,3,04-07 05
4,5,9,04-07 06
4,6,12,04-07 07
3,15,8,04-07 08
3,9,17,04-07 09
3,6,19,04-07 10
8,11,10,04-07 11
6,10,20,04-07 12
3,9,25,04-07 13
6,13,11,04-07 14
8,6,22,04-07 15
8,13,23,04-07 16
4,12,13,04-07 17
8,30,18,04-07 18
2,7,20,04-07 19
3,14,18,04-07 20
1,5,13,04-07 21
2,2,6,04-07 22
2,3,4,04-07 23
0,0,2,04-08 00
0,0,1,04-08 01
1,0,0,04-08 02
1,3,2,04-08 03
0,1,2,04-08 04
2,5,6,04-08 05
2,6,1,04-08 06
7,27,20,04-08 07
1,15,11,04-08 08
8,22,18,04-08 09
3,6,1,04-08 10
4,3,3,04-08 11
3,7,2,04-08 12
32,24,32,04-08 13
44,91,61,04-08 14
27,60,32,04-08 15
4,32,28,04-08 16
10,22,16,04-08 17
16,30,16,04-08 18
20,23,27,04-08 19
6,20,9,04-08 20
3,15,13,04-08 21
8,6,4,04-08 22
4,17,13,04-08 23
14,23,31,04-09 00
2,4,6,04-09 01
3,16,6,04-09 02
0,17,6,04-09 03
4,6,6,04-09 04
7,17,16,04-09 05
4,22,7,04-09 06
4,14,8,04-09 07
5,24,13,04-09 08
8,7,16,04-09 09
8,14,30,04-09 10
9,17,20,04-09 11
3,22,39,04-09 12
3,30,23,04-09 13
4,14,9,04-09 14
16,38,13,04-09 15
9,18,16,04-09 16
3,6,5,04-09 17
4,5,16,04-09 18
5,13,11,04-09 19
11,9,14,04-09 20
3,8,6,04-09 21
0,5,11,04-09 22
0,4,1,04-09 23
9,37,15,04-10 00
1,4,2,04-10 01
2,1,2,04-10 02
4,12,7,04-10 03
3,16,9,04-10 04
9,19,24,04-10 05
5,12,2,04-10 06
16,47,19,04-10 07
8,10,10,04-10 08
10,30,14,04-10 09
8,14,14,04-10 10
11,25,23,04-10 11
