Neg,Neu,Pos,Time
0,2,2,04-06 00
1,0,1,04-06 01
0,2,0,04-06 02
0,2,1,04-06 03
1,1,0,04-06 04
1,0,9,04-06 05
3,3,9,04-06 06
2,1,6,04-06 07
8,11,14,04-06 08
7,6,13,04-06 09
9,11,13,04-06 10
11,8,8,04-06 11
2,6,7,04-06 12
4,8,12,04-06 13
10,22,21,04-06 14
5,29,22,04-06 15
8,13,24,04-06 16
3,7,17,04-06 17
2,10,5,04-06 18
10,22,14,04-06 19
5,8,15,04-06 20
3,2,7,04-06 21
2,3,8,04-06 22
0,1,3,04-06 23
0,1,1,04-07 00
0,1,0,04-07 01
0,1,0,04-07 02
0,0,1,04-07 03
1,1,1,04-07 04
0,1,4,04-07 05
0,2,5,04-07 06
1,4,6,04-07 07
3,18,16,04-07 08
0,7,11,04-07 09
6,4,14,04-07 10
6,11,10,04-07 11
8,8,20,04-07 12
1,5,14,04-07 13
2,9,5,04-07 14
3,3,12,04-07 15
4,13,14,04-07 16
3,8,10,04-07 17
12,21,12,04-07 18
6,6,9,04-07 19
4,15,9,04-07 20
2,5,3,04-07 21
0,0,2,04-07 22
0,2,3,04-07 23
0,1,4,04-08 00
0,0,1,04-08 01
0,2,0,04-08 02
0,0,2,04-08 03
1,4,2,04-08 04
0,4,2,04-08 05
0,4,8,04-08 06
8,29,19,04-08 07
0,10,9,04-08 08
2,12,5,04-08 09
1,3,2,04-08 10
0,2,3,04-08 11
3,4,4,04-08 12
8,21,3,04-08 13
13,29,14,04-08 14
3,29,8,04-08 15
3,13,6,04-08 16
3,14,5,04-08 17
6,8,7,04-08 18
7,9,8,04-08 19
1,10,5,04-08 20
1,3,3,04-08 21
3,7,3,04-08 22
1,12,8,04-08 23
2,5,10,04-09 00
2,0,0,04-09 01
0,6,1,04-09 02
2,2,1,04-09 03
3,3,5,04-09 04
1,4,3,04-09 05
3,6,0,04-09 06
2,4,3,04-09 07
2,18,13,04-09 08
5,5,4,04-09 09
2,7,13,04-09 10
5,19,9,04-09 11
7,15,24,04-09 12
2,15,10,04-09 13
5,6,6,04-09 14
10,32,7,04-09 15
2,8,11,04-09 16
2,3,2,04-09 17
2,5,6,04-09 18
0,0,3,04-09 19
3,1,3,04-09 20
1,3,3,04-09 21
1,3,2,04-09 22
0,2,0,04-09 23
1,5,3,04-10 00
0,1,0,04-10 01
0,0,0,04-10 02
0,3,0,04-10 03
0,3,1,04-10 04
1,3,6,04-10 05
1,3,1,04-10 06
5,13,9,04-10 07
2,7,5,04-10 08
2,11,10,04-10 09
3,5,11,04-10 10
2,8,11,04-10 11
