Neg,Neu,Pos,Time
0,1,1,04-06 00
0,0,1,04-06 01
0,0,0,04-06 02
0,0,0,04-06 03
2,1,2,04-06 04
1,1,3,04-06 05
0,1,6,04-06 06
1,2,11,04-06 07
4,14,8,04-06 08
3,8,9,04-06 09
2,6,9,04-06 10
4,3,8,04-06 11
4,8,9,04-06 12
2,6,8,04-06 13
6,12,19,04-06 14
8,11,13,04-06 15
0,9,12,04-06 16
2,6,15,04-06 17
4,4,8,04-06 18
10,16,14,04-06 19
4,3,6,04-06 20
5,2,4,04-06 21
1,0,4,04-06 22
1,2,5,04-06 23
0,0,2,04-07 00
1,0,0,04-07 01
2,2,1,04-07 02
0,2,0,04-07 03
0,2,0,04-07 04
1,1,1,04-07 05
2,6,1,04-07 06
0,7,6,04-07 07
6,10,18,04-07 08
2,7,10,04-07 09
1,6,5,04-07 10
5,8,11,04-07 11
4,6,11,04-07 12
3,7,13,04-07 13
3,7,7,04-07 14
3,7,14,04-07 15
3,7,16,04-07 16
1,5,11,04-07 17
2,22,17,04-07 18
4,2,6,04-07 19
3,4,6,04-07 20
1,1,3,04-07 21
1,2,6,04-07 22
3,0,6,04-07 23
0,1,1,04-08 00
0,0,1,04-08 01
1,2,0,04-08 02
0,3,3,04-08 03
0,3,2,04-08 04
0,1,1,04-08 05
1,2,5,04-08 06
5,21,15,04-08 07
3,28,11,04-08 08
11,27,12,04-08 09
8,8,7,04-08 10
5,5,7,04-08 11
6,8,11,04-08 12
10,27,22,04-08 13
17,51,31,04-08 14
18,44,19,04-08 15
8,17,8,04-08 16
7,13,6,04-08 17
2,15,7,04-08 18
12,17,19,04-08 19
2,16,4,04-08 20
5,5,3,04-08 21
1,0,2,04-08 22
6,12,8,04-08 23
5,12,9,04-09 00
4,1,1,04-09 01
3,7,1,04-09 02
0,2,2,04-09 03
2,3,2,04-09 04
0,5,5,04-09 05
1,4,4,04-09 06
3,3,7,04-09 07
3,10,11,04-09 08
7,7,2,04-09 09
2,7,10,04-09 10
4,10,8,04-09 11
5,14,35,04-09 12
2,9,15,04-09 13
6,10,6,04-09 14
12,22,9,04-09 15
1,9,9,04-09 16
0,5,4,04-09 17
1,4,5,04-09 18
2,1,6,04-09 19
7,4,5,04-09 20
1,2,3,04-09 21
0,0,2,04-09 22
0,2,0,04-09 23
5,13,1,04-10 00
0,2,0,04-10 01
0,2,2,04-10 02
2,3,1,04-10 03
2,1,3,04-10 04
1,7,4,04-10 05
0,2,2,04-10 06
10,13,12,04-10 07
4,4,10,04-10 08
5,10,9,04-10 09
4,4,6,04-10 10
2,10,11,04-10 11
