Neg,Neu,Pos,Time
6,10,8,4-06 00:00
3,4,11,4-06 01:00
4,14,4,4-06 02:00
5,16,13,4-06 03:00
21,19,36,4-06 04:00
16,20,97,4-06 05:00
20,44,154,4-06 06:00
53,70,145,4-06 07:00
114,173,195,4-06 08:00
80,134,254,4-06 09:00
124,195,309,4-06 10:00
116,149,255,4-06 11:00
80,130,251,4-06 12:00
113,172,226,4-06 13:00
146,343,379,4-06 14:00
178,388,454,4-06 15:00
82,208,351,4-06 16:00
71,160,298,4-06 17:00
60,97,182,4-06 18:00
119,308,255,4-06 19:00
59,88,190,4-06 20:00
74,37,123,4-06 21:00
23,24,69,4-06 22:00
4,31,63,4-06 23:00
5,20,23,4-07 00:00
5,10,4,4-07 01:00
9,29,13,4-07 02:00
8,9,27,4-07 03:00
13,21,20,4-07 04:00
35,26,32,4-07 05:00
42,74,102,4-07 06:00
28,160,183,4-07 07:00
67,269,268,4-07 08:00
56,80,167,4-07 09:00
83,79,251,4-07 10:00
133,161,211,4-07 11:00
114,182,283,4-07 12:00
52,160,274,4-07 13:00
50,170,218,4-07 14:00
92,139,246,4-07 15:00
81,183,278,4-07 16:00
45,167,238,4-07 17:00
96,380,266,4-07 18:00
59,92,197,4-07 19:00
85,126,166,4-07 20:00
33,85,90,4-07 21:00
22,33,53,4-07 22:00
22,18,73,4-07 23:00
12,26,32,4-08 00:00
5,6,9,4-08 01:00
3,26,11,4-08 02:00
8,31,33,4-08 03:00
10,42,45,4-08 04:00
15,46,57,4-08 05:00
29,80,72,4-08 06:00
148,445,367,4-08 07:00
87,361,206,4-08 08:00
192,465,204,4-08 09:00
89,119,57,4-08 10:00
82,103,84,4-08 11:00
63,158,136,4-08 12:00
282,491,406,4-08 13:00
471,1009,621,4-08 14:00
230,708,367,4-08 15:00
88,346,215,4-08 16:00
111,301,173,4-08 17:00
147,325,239,4-08 18:00
203,339,277,4-08 19:00
77,238,98,4-08 20:00
42,129,76,4-08 21:00
69,74,48,4-08 22:00
105,258,129,4-08 23:00
146,259,224,4-09 00:00
28,43,28,4-09 01:00
31,122,58,4-09 02:00
9,120,40,4-09 03:00
58,77,79,4-09 04:00
63,134,115,4-09 05:00
60,133,80,4-09 06:00
49,126,84,4-09 07:00
85,307,166,4-09 08:00
140,92,152,4-09 09:00
144,174,288,4-09 10:00
88,304,253,4-09 11:00
115,353,481,4-09 12:00
92,252,261,4-09 13:00
115,172,165,4-09 14:00
207,519,132,4-09 15:00
70,183,170,4-09 16:00
37,85,72,4-09 17:00
33,84,118,4-09 18:00
68,84,119,4-09 19:00
74,72,98,4-09 20:00
12,57,43,4-09 21:00
8,40,56,4-09 22:00
2,44,7,4-09 23:00
88,284,97,4-10 00:00
5,41,14,4-10 01:00
8,18,22,4-10 02:00
41,73,57,4-10 03:00
29,111,96,4-10 04:00
43,151,174,4-10 05:00
27,89,28,4-10 06:00
183,375,207,4-10 07:00
94,122,96,4-10 08:00
99,321,195,4-10 09:00
59,111,187,4-10 10:00
82,241,213,4-10 11:00
