Neg,Neu,Pos,Time
0,0,2,04-06 00
0,0,0,04-06 01
0,0,0,04-06 02
0,0,1,04-06 03
0,0,0,04-06 04
0,0,2,04-06 05
0,3,2,04-06 06
0,3,2,04-06 07
2,4,1,04-06 08
1,6,6,04-06 09
1,2,12,04-06 10
0,4,7,04-06 11
0,3,6,04-06 12
2,1,8,04-06 13
6,10,10,04-06 14
9,6,16,04-06 15
1,2,9,04-06 16
2,3,5,04-06 17
1,1,2,04-06 18
2,8,7,04-06 19
2,3,6,04-06 20
1,1,1,04-06 21
0,0,0,04-06 22
0,1,3,04-06 23
0,0,0,04-07 00
0,0,0,04-07 01
1,1,0,04-07 02
0,0,2,04-07 03
0,0,1,04-07 04
3,0,1,04-07 05
0,6,3,04-07 06
1,2,5,04-07 07
3,6,5,04-07 08
5,0,4,04-07 09
1,1,9,04-07 10
5,4,4,04-07 11
0,6,6,04-07 12
1,2,6,04-07 13
2,3,4,04-07 14
3,4,9,04-07 15
2,4,7,04-07 16
1,2,3,04-07 17
1,11,5,04-07 18
0,5,3,04-07 19
1,2,4,04-07 20
1,1,1,04-07 21
0,3,1,04-07 22
0,0,2,04-07 23
0,1,0,04-08 00
1,0,0,04-08 01
0,1,1,04-08 02
0,2,1,04-08 03
0,0,2,04-08 04
0,2,3,04-08 05
0,3,3,04-08 06
0,5,5,04-08 07
2,5,7,04-08 08
3,9,4,04-08 09
0,0,0,04-08 10
2,1,2,04-08 11
1,2,3,04-08 12
2,8,11,04-08 13
4,22,20,04-08 14
1,17,14,04-08 15
2,8,1,04-08 16
3,12,7,04-08 17
7,4,2,04-08 18
4,4,10,04-08 19
1,2,3,04-08 20
0,5,1,04-08 21
1,4,1,04-08 22
5,7,2,04-08 23
5,8,6,04-09 00
1,1,1,04-09 01
2,4,1,04-09 02
0,3,2,04-09 03
0,0,0,04-09 04
1,2,0,04-09 05
0,1,0,04-09 06
1,0,2,04-09 07
0,3,1,04-09 08
4,2,5,04-09 09
2,1,7,04-09 10
1,2,5,04-09 11
3,10,12,04-09 12
2,5,3,04-09 13
2,2,6,04-09 14
9,20,3,04-09 15
3,8,2,04-09 16
1,1,2,04-09 17
0,6,2,04-09 18
0,2,4,04-09 19
0,2,1,04-09 20
0,2,1,04-09 21
0,1,2,04-09 22
0,1,1,04-09 23
0,7,4,04-10 00
0,1,2,04-10 01
0,0,0,04-10 02
1,2,1,04-10 03
1,1,1,04-10 04
0,2,6,04-10 05
1,1,1,04-10 06
6,9,7,04-10 07
2,3,1,04-10 08
6,6,7,04-10 09
3,2,2,04-10 10
2,8,4,04-10 11
