Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,1,04-06 01
0,1,0,04-06 02
0,0,0,04-06 03
0,0,2,04-06 04
0,0,4,04-06 05
0,0,1,04-06 06
0,3,2,04-06 07
4,5,5,04-06 08
6,2,7,04-06 09
5,6,8,04-06 10
7,2,11,04-06 11
2,3,6,04-06 12
2,9,9,04-06 13
3,8,12,04-06 14
4,9,13,04-06 15
0,5,10,04-06 16
4,5,15,04-06 17
2,5,8,04-06 18
2,4,8,04-06 19
3,6,3,04-06 20
3,0,3,04-06 21
0,0,3,04-06 22
0,0,3,04-06 23
0,0,0,04-07 00
0,0,0,04-07 01
0,1,0,04-07 02
0,0,0,04-07 03
0,0,0,04-07 04
0,1,1,04-07 05
1,2,4,04-07 06
1,6,6,04-07 07
0,3,1,04-07 08
3,0,5,04-07 09
2,2,10,04-07 10
2,3,5,04-07 11
2,6,11,04-07 12
2,4,4,04-07 13
1,8,3,04-07 14
1,2,5,04-07 15
5,4,9,04-07 16
1,1,6,04-07 17
1,6,7,04-07 18
1,3,4,04-07 19
3,5,5,04-07 20
0,5,0,04-07 21
1,1,1,04-07 22
1,0,0,04-07 23
0,0,0,04-08 00
0,0,0,04-08 01
0,2,1,04-08 02
1,1,2,04-08 03
1,2,0,04-08 04
0,1,3,04-08 05
0,2,1,04-08 06
4,9,10,04-08 07
3,10,7,04-08 08
0,8,2,04-08 09
0,1,1,04-08 10
1,1,0,04-08 11
0,2,3,04-08 12
1,8,7,04-08 13
14,29,16,04-08 14
4,12,6,04-08 15
1,16,3,04-08 16
6,9,3,04-08 17
2,3,6,04-08 18
3,10,7,04-08 19
2,3,0,04-08 20
1,6,2,04-08 21
0,0,1,04-08 22
7,13,8,04-08 23
3,13,3,04-09 00
1,1,2,04-09 01
0,4,2,04-09 02
0,2,1,04-09 03
2,1,3,04-09 04
1,3,3,04-09 05
0,2,3,04-09 06
1,1,1,04-09 07
3,2,2,04-09 08
4,3,3,04-09 09
3,2,7,04-09 10
2,12,4,04-09 11
3,12,14,04-09 12
3,5,8,04-09 13
3,4,6,04-09 14
1,6,4,04-09 15
0,5,2,04-09 16
3,5,2,04-09 17
1,3,1,04-09 18
1,1,4,04-09 19
1,2,1,04-09 20
0,0,0,04-09 21
0,1,2,04-09 22
0,2,0,04-09 23
0,3,3,04-10 00
0,2,0,04-10 01
1,1,1,04-10 02
4,0,0,04-10 03
0,1,1,04-10 04
1,0,4,04-10 05
0,1,0,04-10 06
3,13,2,04-10 07
4,5,0,04-10 08
1,6,7,04-10 09
2,3,8,04-10 10
1,8,4,04-10 11
