Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,0,04-06 01
0,0,0,04-06 02
1,0,3,04-06 03
2,3,2,04-06 04
1,3,9,04-06 05
0,3,8,04-06 06
2,4,6,04-06 07
6,5,7,04-06 08
4,3,7,04-06 09
8,5,16,04-06 10
5,10,7,04-06 11
3,5,17,04-06 12
4,8,16,04-06 13
4,17,17,04-06 14
2,9,21,04-06 15
1,6,15,04-06 16
4,4,15,04-06 17
3,9,7,04-06 18
2,7,12,04-06 19
4,4,9,04-06 20
0,0,7,04-06 21
0,0,9,04-06 22
0,1,5,04-06 23
1,0,1,04-07 00
0,1,0,04-07 01
0,2,2,04-07 02
0,0,1,04-07 03
0,1,0,04-07 04
1,2,0,04-07 05
2,3,5,04-07 06
3,9,8,04-07 07
1,10,10,04-07 08
1,1,8,04-07 09
4,6,10,04-07 10
3,8,12,04-07 11
3,9,13,04-07 12
1,7,12,04-07 13
3,9,17,04-07 14
4,10,7,04-07 15
4,8,13,04-07 16
1,5,6,04-07 17
3,7,9,04-07 18
2,3,8,04-07 19
1,2,7,04-07 20
1,4,1,04-07 21
2,4,2,04-07 22
2,1,2,04-07 23
0,3,2,04-08 00
1,1,1,04-08 01
0,3,1,04-08 02
0,2,2,04-08 03
0,2,1,04-08 04
0,2,5,04-08 05
2,5,2,04-08 06
4,12,15,04-08 07
1,10,5,04-08 08
2,5,5,04-08 09
0,4,2,04-08 10
4,3,1,04-08 11
1,0,3,04-08 12
3,5,1,04-08 13
5,7,9,04-08 14
0,5,5,04-08 15
4,4,1,04-08 16
2,8,3,04-08 17
0,3,4,04-08 18
2,3,2,04-08 19
4,2,1,04-08 20
0,0,0,04-08 21
0,0,0,04-08 22
0,0,0,04-08 23
5,2,6,04-09 00
0,1,2,04-09 01
1,3,3,04-09 02
0,3,2,04-09 03
0,2,0,04-09 04
1,2,3,04-09 05
0,0,1,04-09 06
1,4,4,04-09 07
2,6,1,04-09 08
5,0,4,04-09 09
7,5,10,04-09 10
4,9,14,04-09 11
3,13,21,04-09 12
3,7,13,04-09 13
10,16,7,04-09 14
3,15,6,04-09 15
8,7,16,04-09 16
1,4,3,04-09 17
1,4,10,04-09 18
3,5,7,04-09 19
4,2,6,04-09 20
0,1,1,04-09 21
1,0,2,04-09 22
0,2,0,04-09 23
3,16,3,04-10 00
0,1,0,04-10 01
1,1,2,04-10 02
6,2,2,04-10 03
2,5,6,04-10 04
3,9,6,04-10 05
2,3,2,04-10 06
13,20,4,04-10 07
6,6,6,04-10 08
3,9,12,04-10 09
3,8,18,04-10 10
4,9,4,04-10 11
