Neg,Neu,Pos,Time
0,0,0,04-06 00
0,0,2,04-06 01
1,0,0,04-06 02
0,1,0,04-06 03
0,1,1,04-06 04
1,2,2,04-06 05
0,1,5,04-06 06
2,4,4,04-06 07
3,10,4,04-06 08
4,4,8,04-06 09
6,4,12,04-06 10
6,7,5,04-06 11
2,0,8,04-06 12
4,2,12,04-06 13
7,16,15,04-06 14
8,24,22,04-06 15
2,5,17,04-06 16
1,4,13,04-06 17
4,2,7,04-06 18
5,16,11,04-06 19
0,3,6,04-06 20
2,2,3,04-06 21
1,0,5,04-06 22
0,4,2,04-06 23
0,0,1,04-07 00
1,1,0,04-07 01
1,1,0,04-07 02
0,0,3,04-07 03
0,0,1,04-07 04
1,0,0,04-07 05
1,4,1,04-07 06
0,5,8,04-07 07
2,11,15,04-07 08
0,4,5,04-07 09
2,1,6,04-07 10
7,7,6,04-07 11
6,3,10,04-07 12
2,7,7,04-07 13
1,3,14,04-07 14
3,4,10,04-07 15
3,6,10,04-07 16
2,12,8,04-07 17
5,20,9,04-07 18
0,3,7,04-07 19
3,5,2,04-07 20
2,2,6,04-07 21
1,3,2,04-07 22
1,2,3,04-07 23
0,0,0,04-08 00
0,0,1,04-08 01
0,0,0,04-08 02
0,1,0,04-08 03
1,1,2,04-08 04
0,0,2,04-08 05
0,2,4,04-08 06
5,25,20,04-08 07
9,29,6,04-08 08
17,58,25,04-08 09
12,13,5,04-08 10
6,13,8,04-08 11
6,20,13,04-08 12
23,32,24,04-08 13
39,84,48,04-08 14
22,74,42,04-08 15
6,40,18,04-08 16
5,20,13,04-08 17
12,34,19,04-08 18
13,38,29,04-08 19
4,18,13,04-08 20
2,6,4,04-08 21
10,4,4,04-08 22
10,14,12,04-08 23
5,17,14,04-09 00
1,1,2,04-09 01
3,6,3,04-09 02
0,3,1,04-09 03
1,1,4,04-09 04
2,5,4,04-09 05
3,7,5,04-09 06
1,8,2,04-09 07
3,25,9,04-09 08
8,4,5,04-09 09
9,16,15,04-09 10
1,21,13,04-09 11
7,21,14,04-09 12
7,12,18,04-09 13
7,13,9,04-09 14
16,56,6,04-09 15
5,11,3,04-09 16
2,4,4,04-09 17
1,6,5,04-09 18
5,7,13,04-09 19
5,4,12,04-09 20
1,5,3,04-09 21
1,3,3,04-09 22
0,5,0,04-09 23
4,10,3,04-10 00
0,0,2,04-10 01
1,0,0,04-10 02
1,4,1,04-10 03
0,3,3,04-10 04
2,2,4,04-10 05
1,5,3,04-10 06
14,26,14,04-10 07
2,8,3,04-10 08
5,27,11,04-10 09
1,6,11,04-10 10
3,22,15,04-10 11
