Neg,Neu,Pos,Time
1,0,0,04-06 00
0,0,0,04-06 01
1,1,0,04-06 02
0,1,0,04-06 03
0,1,2,04-06 04
0,1,3,04-06 05
1,5,8,04-06 06
3,4,6,04-06 07
10,18,11,04-06 08
7,3,13,04-06 09
8,16,20,04-06 10
12,7,19,04-06 11
5,2,22,04-06 12
6,9,15,04-06 13
12,15,19,04-06 14
14,32,33,04-06 15
3,20,26,04-06 16
6,5,14,04-06 17
5,4,15,04-06 18
7,24,25,04-06 19
5,5,10,04-06 20
5,2,3,04-06 21
3,2,4,04-06 22
0,5,1,04-06 23
0,1,1,04-07 00
0,1,0,04-07 01
2,1,1,04-07 02
0,1,0,04-07 03
2,1,1,04-07 04
2,2,4,04-07 05
5,4,8,04-07 06
1,13,9,04-07 07
7,22,25,04-07 08
6,3,15,04-07 09
5,5,21,04-07 10
5,12,12,04-07 11
6,18,14,04-07 12
2,13,29,04-07 13
3,9,12,04-07 14
8,7,16,04-07 15
8,18,17,04-07 16
3,11,15,04-07 17
7,30,21,04-07 18
4,9,9,04-07 19
4,8,16,04-07 20
5,6,12,04-07 21
0,0,3,04-07 22
0,1,6,04-07 23
1,1,2,04-08 00
0,1,0,04-08 01
0,2,1,04-08 02
0,2,4,04-08 03
0,2,6,04-08 04
0,6,5,04-08 05
0,6,3,04-08 06
12,29,28,04-08 07
7,31,13,04-08 08
5,17,3,04-08 09
4,10,3,04-08 10
4,12,5,04-08 11
0,14,8,04-08 12
22,44,29,04-08 13
36,51,36,04-08 14
20,38,21,04-08 15
3,28,10,04-08 16
4,13,10,04-08 17
9,29,13,04-08 18
12,13,14,04-08 19
6,20,8,04-08 20
2,5,3,04-08 21
4,8,3,04-08 22
9,22,14,04-08 23
6,14,9,04-09 00
1,5,1,04-09 01
1,3,0,04-09 02
3,9,3,04-09 03
3,10,5,04-09 04
3,8,8,04-09 05
2,10,6,04-09 06
4,8,9,04-09 07
10,30,16,04-09 08
13,12,15,04-09 09
16,21,25,04-09 10
7,32,21,04-09 11
8,23,42,04-09 12
13,24,23,04-09 13
13,14,14,04-09 14
9,13,1,04-09 15
3,5,6,04-09 16
0,1,0,04-09 17
1,2,1,04-09 18
2,1,6,04-09 19
0,2,2,04-09 20
1,2,0,04-09 21
0,4,4,04-09 22
0,2,0,04-09 23
0,5,0,04-10 00
0,0,0,04-10 01
0,0,2,04-10 02
0,2,1,04-10 03
1,4,3,04-10 04
0,1,2,04-10 05
0,4,3,04-10 06
4,6,10,04-10 07
3,2,1,04-10 08
4,4,4,04-10 09
1,2,3,04-10 10
0,4,7,04-10 11
