Neg,Neu,Pos,Time
0,1,1,04-06 00
1,1,1,04-06 01
0,1,1,04-06 02
0,0,1,04-06 03
3,3,3,04-06 04
1,1,10,04-06 05
3,4,19,04-06 06
7,7,18,04-06 07
14,15,26,04-06 08
4,16,33,04-06 09
15,22,33,04-06 10
11,15,31,04-06 11
15,13,31,04-06 12
14,18,24,04-06 13
15,36,37,04-06 14
15,42,53,04-06 15
12,28,38,04-06 16
10,20,24,04-06 17
6,7,28,04-06 18
10,38,30,04-06 19
6,8,18,04-06 20
9,4,16,04-06 21
1,5,5,04-06 22
0,1,7,04-06 23
2,3,2,04-07 00
1,1,0,04-07 01
0,5,2,04-07 02
2,0,3,04-07 03
1,5,1,04-07 04
6,6,4,04-07 05
5,10,19,04-07 06
1,17,17,04-07 07
6,34,30,04-07 08
5,5,17,04-07 09
5,7,20,04-07 10
22,17,19,04-07 11
13,18,33,04-07 12
7,21,34,04-07 13
6,23,17,04-07 14
9,12,28,04-07 15
4,22,26,04-07 16
3,11,28,04-07 17
8,30,21,04-07 18
1,5,24,04-07 19
13,16,17,04-07 20
2,7,8,04-07 21
0,1,8,04-07 22
1,2,7,04-07 23
3,4,3,04-08 00
1,2,0,04-08 01
0,1,1,04-08 02
2,3,0,04-08 03
1,7,2,04-08 04
3,6,4,04-08 05
5,10,7,04-08 06
21,49,40,04-08 07
10,35,22,04-08 08
36,50,30,04-08 09
8,14,6,04-08 10
10,11,9,04-08 11
7,19,13,04-08 12
29,66,46,04-08 13
63,116,57,04-08 14
24,84,46,04-08 15
10,45,24,04-08 16
8,27,18,04-08 17
20,44,23,04-08 18
25,40,37,04-08 19
6,29,16,04-08 20
5,13,9,04-08 21
7,9,5,04-08 22
9,27,5,04-08 23
18,26,29,04-09 00
2,10,3,04-09 01
3,12,9,04-09 02
0,15,3,04-09 03
10,5,12,04-09 04
6,17,13,04-09 05
3,14,11,04-09 06
9,13,9,04-09 07
6,32,23,04-09 08
12,9,10,04-09 09
14,12,25,04-09 10
8,36,25,04-09 11
7,32,41,04-09 12
11,24,21,04-09 13
9,17,16,04-09 14
33,65,18,04-09 15
7,17,26,04-09 16
7,8,12,04-09 17
7,11,17,04-09 18
10,7,12,04-09 19
10,9,9,04-09 20
0,4,2,04-09 21
2,2,4,04-09 22
0,5,0,04-09 23
11,39,14,04-10 00
0,6,1,04-10 01
0,5,4,04-10 02
4,12,9,04-10 03
3,13,13,04-10 04
4,26,17,04-10 05
4,7,3,04-10 06
26,36,22,04-10 07
14,9,13,04-10 08
13,42,18,04-10 09
7,17,18,04-10 10
11,28,25,04-10 11
